title,author,genre_1,genre_2,brank,rate,count
꾸뻬씨의 행복여행,프랑수아 를로르,"소설, ","프랑스소설, 프랑스소설일반, ",920,9.02,283
눈물을 마시는 새 1,이영도,"소설, 소설, ","한국소설, 판타지소설, 장르소설, 판타지소설, ",921,9.39,30
인간의 굴레에서 1,서머싯 몸,"소설, 소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",922,9.8,90
암흑의 핵심,조셉 콘래드,"소설, 소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",923,8.86,54
백련의 패왕과 성약의 발키리 8,타카야마 세이치,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",925,10.0,1
용의 만화경,김유정,"소설, ","한국소설, 한국소설일반, ",932,10.0,2
히말라야를 위한 낭송,백선암,,,933,7.5,1
마왕님 리트라이! 6,칸자키 쿠로네,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",935,10.0,1
토지 2(1부 2권),박경리,"소설, 소설, ","한국소설, 고전소설/문학선, 고전소설/문학선, 한국고전소설/문학선, ",936,10.0,2
나의 최애에게,류시은,"소설, ","한국소설, 한국소설일반, ",937,10.0,4
불안의 변이,리디아 데이비스,"소설, ","영미소설, 영미소설일반, ",938,10.0,1
아픈 건 싫으니까 방어력에 올인하려고 합니다 11,유우미칸,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",939,10.0,1
은총을 받은 사람의 우화,옥타비아 버틀러,"소설, 소설, ","영미소설, SF/과학소설, 장르소설, SF/과학소설, ",940,8.75,5
거울은 소녀를 용서하지 않는다,이우연,"소설, ","한국소설, 한국소설일반, ",941,10.0,10
죽은 고양이를 태우다,김양미,"소설, ","한국소설, 한국소설일반, ",943,10.0,12
전기수 설낭,김동진,"소설, 소설, ","한국소설, 역사/대하소설, 장르소설, 역사소설, ",945,10.0,2
흔해빠진 직업으로 세계최강 제로 6,시라코메 료,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",946,10.0,5
이세계 피크닉 4,미야자와 이오리,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",947,10.0,2
Re: 제로부터 시작하는 이세계 생활 31,나가츠키 탓페이,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",948,10.0,22
유도라 허니셋은 잘 지내고 있답니다,애니 라이언스,"소설, ","영미소설, 영미소설일반, ",949,9.95,89
"붓, 한 자루의 생",최삼경,"소설, 소설, ","한국소설, 역사/대하소설, 장르소설, 역사소설, ",950,10.0,1
편지,히가시노 게이고,"소설, 소설, 소설, ","일본소설, 일본소설일반, 일본소설, 드라마/영화소설, 장르소설, 드라마/영화소설, ",851,9.54,225
"친애하고, 친애하는",백수린,"소설, ","한국소설, 한국소설일반, ",852,9.74,93
마력의 태동,히가시노 게이고,"소설, 소설, 소설, 소설, ","일본소설, 미스터리/스릴러소설, 일본소설, 드라마/영화소설, 장르소설, 미스터리/스릴러소설, 장르소설, 드라마/영화소설, ",853,9.53,318
디디의 우산,황정은,"소설, ","한국소설, 한국소설일반, ",854,9.23,246
책상은 책상이다,페터 빅셀,"소설, ","독일소설, 독일소설일반, ",855,9.3,19
대위의 딸,알렉산드르 세르게예비치 푸시킨,"소설, 소설, ","러시아소설, 고전소설/문학선, 고전소설/문학선, 러시아고전소설/문학선, ",856,9.69,5
안나 까레니나(상),레프 똘스또이,"소설, 소설, 소설, ","러시아소설, 고전소설/문학선, 고전소설/문학선, 러시아고전소설/문학선, 세계문학전집, 열린책들 세계문학, ",857,9.66,30
고양이 2,베르나르 베르베르,"소설, 소설, ","프랑스소설, SF/과학소설, 장르소설, SF/과학소설, ",858,9.27,334
고양이 1,베르나르 베르베르,"소설, 소설, ","프랑스소설, SF/과학소설, 장르소설, SF/과학소설, ",859,9.25,672
터무니없는 스킬로 이세계 방랑 밥 3,에구치 렌,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",860,9.04,8
올리버 트위스트 2,찰스 디킨스,"소설, 소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",861,9.69,14
"정말 미안하지만, 나는 아무렇지도 않았다",김동식,"소설, ","한국소설, 한국소설일반, ",862,9.75,17
너는 달밤에 빛나고,사노 테츠야,"소설, ","일본소설, 일본소설일반, ",863,9.72,123
풀이 눕는다,김사과,"소설, 소설, ","한국소설, 로맨스소설, 장르소설, 로맨스소설, ",864,9.4,15
기사단장 죽이기 1: 현현하는 이데아,무라카미 하루키,"소설, ","일본소설, 일본소설일반, ",865,9.26,625
오 헨리 단편선,오 헨리,"소설, 소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",866,9.9,49
너의 췌장을 먹고 싶어,스미노 요루,"소설, 소설, ","일본소설, 드라마/영화소설, 장르소설, 드라마/영화소설, ",867,9.51,282
사랑의 생애,이승우,"소설, ","한국소설, 한국소설일반, ",868,9.37,78
편의점 인간,무라타 사야카,"소설, ","일본소설, 일본소설일반, ",869,8.81,359
다윈 영의 악의 기원,박지리,"소설, ","한국소설, 한국소설일반, ",870,9.7,57
한 스푼의 시간,구병모,"소설, ","한국소설, 한국소설일반, ",871,9.63,127
이반 일리치의 죽음,레프 니꼴라예비치 똘스또이,"소설, 소설, 소설, ","러시아소설, 고전소설/문학선, 고전소설/문학선, 러시아고전소설/문학선, 세계문학전집, 창비 세계문학, ",698,9.8,48
살육에 이르는 병,아비코 다케마루,,,873,9.43,96
모비딕,H.멜빌,"소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, ",874,9.43,18
꾿빠이 이상,김연수,"소설, ","한국소설, 한국소설일반, ",875,9.58,8
덕혜옹주,권비영,"소설, ","한국소설, 한국소설일반, ",876,9.42,103
"그믐, 또는 당신이 세계를 기억하는 방식",장강명,"소설, ","한국소설, 한국소설일반, ",877,9.51,77
칠드런 액트,이언 매큐언,"소설, 소설, 소설, ","영미소설, 영미소설일반, 영미소설, 드라마/영화소설, 장르소설, 드라마/영화소설, ",878,9.17,39
돈키호테 1,미겔 데 세르반테스 사아베드라,"소설, 소설, ","그외유럽소설, 스페인소설, 고전소설/문학선, 고전소설/문학선일반, ",308,9.71,189
그 많던 싱아는 누가 다 먹었을까,박완서,"소설, ","한국소설, 한국소설일반, ",271,9.98,93
슬픔이여 안녕,프랑수아즈 사강,"소설, 소설, ","프랑스소설, 고전소설/문학선, 고전소설/문학선, 프랑스고전소설/문학선, ",228,10.0,3
윤동주 시집,윤동주,"소설, ","세계문학전집, 범우문고, ",882,9.58,49
슬픔도 힘이 된다,양귀자,"소설, ","한국소설, 한국소설일반, ",883,10.0,6
